product_id,title,brand,product_type,category,price,rating,confidence_score
1,Feit Electric 60-Watt Equivalent B10 E26 Base Dim White Filament Clear Glass Chandelier LED Light Bulb Soft White 2700K (3-Pack) ETC60927CAWFILHDRP/3,Feit Electric,LED Light Bulb,lighting,13.48,4.5,100
2,GE 20 Amp Double Pole Ground Fault Breaker with Self-Test THQL2120GFTP,GE,Circuit Breaker,electrical,112.5,4.3,100
3,Kwikset HALO Satin Nickel Keypad WiFi Electronic Single-Cylinder Smart Lock Deadbolt featuring SmartKey Security 938WIFIKYPD15SM,Kwikset,Deadbolt,locks,169.39,4.0,100
4,LuxHomez 24 in. W x 24 in. H Black Vanity Round Wall Mirror Aluminum Alloy Frame Bathroom Mirror LLOM-60-BK,LuxHomez,Other/Uncategorized,uncategorized,42.0,4.7,100
5,"Rheem Performance 30 Gal. Short 30,000 BTU Natural Gas Water Heater with 6-Year Warranty XG30S06EC30U1",Rheem,Water Heater,uncategorized,589.0,4.4,100
6,"HALO HLBSL 6 in. Can Less Integrated LED, 900 Lumens, 5CCT, White (4-Pack) HLBSL609FS5-4PK",HALO,Recessed Light,lighting,61.97,4.7,100
7,Cerrowire 500 ft. 18/10 Black Solid Copper Sprinkler Wire 240-1010J,Cerrowire,Other/Uncategorized,uncategorized,371.8,4.2,100
8,Empire 48 in. UltraView LED Magnetic Box Level EM95.48,Empire,Other/Uncategorized,uncategorized,77.97,4.9,100
9,Cerrowire 500 ft. 18/7 Black Solid Copper Sprinkler Wire 240-1007J,Cerrowire,Other/Uncategorized,uncategorized,219.0,4.6,100
10,Metalux 13 in. Round 400-Watt Equivalent Integrated LED White High Bay Light HBRC2L3,Metalux,Lighting (Other),lighting,153.97,4.9,100
11,Siemens 30 Amp Double Pole Type QPF2 GFCI Circuit Breaker US2:QF230AP,Siemens,Circuit Breaker,electrical,109.0,4.8,100
12,Cobra 5/16 in. x 50 ft. Slotted End Replacement Cable BC96106C,Cobra,Drain,plumbing,77.78,4.4,100
13,Southwire 1/2 in. x 100 ft. Alflex RWA Metallic Aluminum Flexible Conduit 55082103,Southwire,Electrical Outlet,electrical,83.06,4.6,100
14,MOEN Adler Single-Handle Low Arc Kitchen Faucet in Chrome with Tool Free Install 87201,MOEN,Faucet,plumbing,59.39,4.4,100
15,Cerrowire 100 ft. 14 Gauge Red Solid Copper THHN Wire 112-1473CR,Cerrowire,Other/Uncategorized,uncategorized,45.0,4.7,100
16,Cerrowire 25 ft. 18/2 Silver Stranded Copper Lamp Wire 251-1015AR,Cerrowire,Lighting (Other),lighting,11.58,4.6,100
17,Pfister Brea Single Handle Single Hole Bathroom Faucet with Deckplate in Brushed Nickel LF-042-BRKK,Pfister,Faucet,plumbing,135.79,4.6,100
18,Honeywell Home 1-Week Programmable Thermostat with Digital Display RTH221B,Honeywell Home,Other/Uncategorized,uncategorized,15.98,3.9,100
19,EcoSmart 60-Watt Equivalent A19 Dimmable LED Light Bulb with Selectable Color Temperature (6-Pack) 13A1960W5CCTS01,EcoSmart,LED Light Bulb,lighting,16.48,4.9,100
20,Werner 5 ft. Aluminum Step Ladder (9 ft. Reach Height) with 225 lb. Load Capacity Type II Duty Rating 355,Werner,Paint,paint,59.0,4.7,100
21,"Lutron Skylark Contour LED+ Dimmer Switch for LED and Incandescent Bulbs, 150-Watt/Single-Pole or 3-Way, Ivory (CTCL-153PDH-IV) CTCL-153PDH-IV",Lutron,LED Light Bulb,lighting,26.22,4.6,100
22,GE Q-Line 40 Amp 1 in. Double Pole Circuit Breaker (THQP240) THQP240,GE,Circuit Breaker,electrical,14.99,4.6,100
23,Southwire (By-The-Foot) 10/3 Gray Solid CU UF-B W/G Wire 13059199,Southwire,Other/Uncategorized,uncategorized,3.28,5.0,100
24,RYOBI Tune-Up Kit for 37cc and 38cc Gas Chainsaws AC0538CSK,RYOBI,Saw,tools,24.0,4.2,100
25,GE Q-Line 40 Amp 2 in. Double-Pole Circuit Breaker THQL2140,GE,Circuit Breaker,electrical,14.79,4.7,100
26,HALO HLBSL4 4 in. Adjustable CCT Canless IC Rated Dimmable Indoor Integrated LED Recessed Light Kit (4-Pack) HLBSL4069FS35-4PK,HALO,Recessed Light,lighting,58.97,4.7,100
27,"Werner 5 in 1 Multi Position Pro 14 ft. Reach Aluminum Adjustable Multi Position Ladder, 375 lb. Load Capacity Type IAA Duty MT-14IAA",Werner,Other/Uncategorized,uncategorized,179.0,4.8,100
28,Square D Homeline 70 Amp 2-Pole Circuit Breaker HOM270CP,Square D,Circuit Breaker,electrical,48.48,4.8,100
29,GE 150 Amp 4-Space 8 Circuit Outdoor Combination Main Breaker/Ringless Meter Socket Load Center TSMR415CSCUGP,GE,Other/Uncategorized,uncategorized,286.92,4.0,100
30,Glacier Bay 9 in. x 7/8 in. Exposed Screw Assist Bar in Chrome 20135-1401-09,Glacier Bay,Toilet,plumbing,17.98,4.8,100
31,"Malco 18 in. Folding Tool, Folding Depths of 3/8 in. and 1 in. 18F",Malco,Tool (Other),tools,23.27,4.7,100
32,"Lutron Claro 3-Gang Decorator/Rocker Wallplate, Gloss, Light Almond (1-Pack) CW-3B-LA",Lutron,Lighting (Other),lighting,9.97,4.3,100
33,GE 200 Amp 32-Space 64-Circuit Main Breaker Indoor Load Center Contractor Kit TM3220C64K,GE,Circuit Breaker,electrical,176.0,4.6,100
34,FastenMaster Universal Hidden Deck Fastening System – Stainless steel hidden deck screws and clips – Black (50 SF) FMTHDCLIP-50,FastenMaster,Stain,paint,49.97,4.4,100
35,Andersen 27-1/2 in. x 35-1/2 in. 200-Series White Double-Hung Clad Wood Window with White Interior Low-E Glass and White Hardware 9163982,Andersen,Other/Uncategorized,uncategorized,259.0,4.1,100
36,Milwaukee 9 in. 10 TPI TORCH Nitrus Carbide Teeth Medium Metal Cutting Reciprocating Saw Blade w/Additional 9 in. 10 TPI Blade 48-00-6252PC,Milwaukee,Saw,tools,24.88,4.9,80
37,"Leviton 15 Amp Decora Combination Tamper Resistant Duplex Outlet and USB Charger, White (3-Pack) T5632-3BW M02-T5632-3BW",Leviton,Electrical Outlet,electrical,53.25,4.6,100
38,GE 200 Amp 32-Space 64-Circuit Main Lug Indoor Load Center Contractor Kit TLM3220C64GK,GE,Circuit Breaker,electrical,137.0,4.5,100
39,Hampton Bay 3.67 ft. Black Integrated LED Ceiling Mounted Hard Wired Linear Track Lighting Kit with Cylinder Heads 3-Light 817790,Hampton Bay,Track Light,lighting,149.0,3.9,100
40,Hampton Bay 4 ft. Brushed Nickel Integrated LED Ceiling Mount Direct wire Track Lighting Kit with Flared Linear Track Head 3-Light 817770,Hampton Bay,Track Light,lighting,79.98,3.7,100
41,Hampton Bay 44 in. Black Integrated LED Linear Track Lighting Kit Mini Step 3-Light 805109,Hampton Bay,Track Light,lighting,115.0,4.4,100
42,GE PowerMark Gold 200 Amp 10 in. Enclosed Outdoor Circuit Breaker THQMV200NRE,GE,Circuit Breaker,electrical,189.0,4.6,100
43,"Commercial Electric Trimless Integrated LED 4 in Round Adjustable Color Temp Canless Recessed Light for Kitchen Bathroom Livingroom, White 91487",Commercial Electric,Recessed Light,lighting,22.47,5.0,100
44,"Commercial Electric Trimless Integrated LED 6 in Round Adjustable Color Temp Canless Recessed Light for Kitchen Bathroom Livingroom, White 91488",Commercial Electric,Recessed Light,lighting,27.47,5.0,100
45,"Bell + Howell 15.7 in. Indoor White Ceiling Fan with Remote, LED Light, Socket 8563ENCBQH",Bell + Howell,Ceiling Fan,lighting,39.19,4.5,100
46,Commercial Electric Impact Punch Down Tool with 110 Blade CE70804,Commercial Electric,Tool (Other),tools,28.98,3.5,100
47,"Oregon R28F Polesaw Chain for 6 in. Bar, Fits Remington, Milwaukee and Craftsman R28F-21",Oregon,Saw,tools,15.68,5.0,100
