Index,Title,Brand,Product Type,Confidence,Confidence Level
0,Feit Electric 60-Watt Equivalent B10 E26 Base Dim White Filament Clear Glass Chandelier LED Light Bu,Feit Electric,LED Light Bulb,100,High
1,GE 20 Amp Double Pole Ground Fault Breaker with Self-Test THQL2120GFTP,GE,Circuit Breaker,88.0,High
2,Kwikset HALO Satin Nickel Keypad WiFi Electronic Single-Cylinder Smart Lock Deadbolt featuring Smart,Kwikset,Door Lock,75.0,High
3,LuxHomez 24 in. W x 24 in. H Black Vanity Round Wall Mirror Aluminum Alloy Frame Bathroom Mirror LLO,LuxHomez,Unknown - Unable to Classify,6.0,Very Low
4,"Rheem Performance 30 Gal. Short 30,000 BTU Natural Gas Water Heater with 6-Year Warranty XG30S06EC30",Rheem,Water Heater,59.0,Medium
5,"HALO HLBSL 6 in. Can Less Integrated LED, 900 Lumens, 5CCT, White (4-Pack) HLBSL609FS5-4PK",HALO,Recessed Light,33.0,Low
6,Cerrowire 500 ft. 18/10 Black Solid Copper Sprinkler Wire 240-1010J,Cerrowire,Wire,53.0,Medium
7,Empire 48 in. UltraView LED Magnetic Box Level EM95.48,Empire,Level,53.0,Medium
8,Cerrowire 500 ft. 18/7 Black Solid Copper Sprinkler Wire 240-1007J,Cerrowire,Wire,53.0,Medium
9,Metalux 13 in. Round 400-Watt Equivalent Integrated LED White High Bay Light HBRC2L3,Metalux,Light Switch,31.0,Low
10,Siemens 30 Amp Double Pole Type QPF2 GFCI Circuit Breaker US2:QF230AP,Siemens,Circuit Breaker,63.0,Medium
11,Cobra 5/16 in. x 50 ft. Slotted End Replacement Cable BC96106C,Cobra,Cable,43.0,Low
12,Southwire 1/2 in. x 100 ft. Alflex RWA Metallic Aluminum Flexible Conduit 55082103,Southwire,Unknown - Unable to Classify,9.0,Very Low
13,MOEN Adler Single-Handle Low Arc Kitchen Faucet in Chrome with Tool Free Install 87201,MOEN,Faucet,53.0,Medium
14,Cerrowire 100 ft. 14 Gauge Red Solid Copper THHN Wire 112-1473CR,Cerrowire,Wire,58.0,Medium
15,Cerrowire 25 ft. 18/2 Silver Stranded Copper Lamp Wire 251-1015AR,Cerrowire,Wire,53.0,Medium
16,Pfister Brea Single Handle Single Hole Bathroom Faucet with Deckplate in Brushed Nickel LF-042-BRKK,Pfister,Unknown - Unable to Classify,28.0,Very Low
17,Honeywell Home 1-Week Programmable Thermostat with Digital Display RTH221B,Honeywell Home,Thermostat,48.0,Low
18,EcoSmart 60-Watt Equivalent A19 Dimmable LED Light Bulb with Selectable Color Temperature (6-Pack) 1,EcoSmart,LED Light Bulb,100,High
19,Werner 5 ft. Aluminum Step Ladder (9 ft. Reach Height) with 225 lb. Load Capacity Type II Duty Ratin,Werner,Unknown - Unable to Classify,25.0,Very Low
20,"Lutron Skylark Contour LED+ Dimmer Switch for LED and Incandescent Bulbs, 150-Watt/Single-Pole or 3-",Lutron,Light Switch,81.0,High
21,GE Q-Line 40 Amp 1 in. Double Pole Circuit Breaker (THQP240) THQP240,GE,Circuit Breaker,58.0,Medium
22,Southwire (By-The-Foot) 10/3 Gray Solid CU UF-B W/G Wire 13059199,Southwire,Wire,53.0,Medium
23,RYOBI Tune-Up Kit for 37cc and 38cc Gas Chainsaws AC0538CSK,RYOBI,Unknown - Unable to Classify,28.0,Very Low
24,GE Q-Line 40 Amp 2 in. Double-Pole Circuit Breaker THQL2140,GE,Circuit Breaker,58.0,Medium
25,HALO HLBSL4 4 in. Adjustable CCT Canless IC Rated Dimmable Indoor Integrated LED Recessed Light Kit ,HALO,Recessed Light,94.0,High
26,"Werner 5 in 1 Multi Position Pro 14 ft. Reach Aluminum Adjustable Multi Position Ladder, 375 lb. Loa",Werner,Unknown - Unable to Classify,6.0,Very Low
27,Square D Homeline 70 Amp 2-Pole Circuit Breaker HOM270CP,Square D,Circuit Breaker,64.0,Medium
28,GE 150 Amp 4-Space 8 Circuit Outdoor Combination Main Breaker/Ringless Meter Socket Load Center TSMR,GE,Load Center,58.0,Medium
29,Glacier Bay 9 in. x 7/8 in. Exposed Screw Assist Bar in Chrome 20135-1401-09,Glacier Bay,Fastener,48.0,Low
30,"Malco 18 in. Folding Tool, Folding Depths of 3/8 in. and 1 in. 18F",Malco,Unknown - Unable to Classify,5.0,Very Low
31,"Lutron Claro 3-Gang Decorator/Rocker Wallplate, Gloss, Light Almond (1-Pack) CW-3B-LA",Lutron,Unknown - Unable to Classify,16.0,Very Low
32,GE 200 Amp 32-Space 64-Circuit Main Breaker Indoor Load Center Contractor Kit TM3220C64K,GE,Circuit Breaker,78.0,High
33,FastenMaster Universal Hidden Deck Fastening System – Stainless steel hidden deck screws and clips –,FastenMaster,Unknown - Unable to Classify,28.0,Very Low
34,Andersen 27-1/2 in. x 35-1/2 in. 200-Series White Double-Hung Clad Wood Window with White Interior L,Andersen,Unknown - Unable to Classify,8.0,Very Low
35,Milwaukee 9 in. 10 TPI TORCH Nitrus Carbide Teeth Medium Metal Cutting Reciprocating Saw Blade w/Add,Milwaukee,Saw,55.0,Medium
36,"Leviton 15 Amp Decora Combination Tamper Resistant Duplex Outlet and USB Charger, White (3-Pack) T56",Leviton,Electrical Outlet,53.0,Medium
37,GE 200 Amp 32-Space 64-Circuit Main Lug Indoor Load Center Contractor Kit TLM3220C64GK,GE,Load Center,66.0,Medium
38,Hampton Bay 3.67 ft. Black Integrated LED Ceiling Mounted Hard Wired Linear Track Lighting Kit with ,Hampton Bay,Track Lighting,46.0,Low
39,Hampton Bay 4 ft. Brushed Nickel Integrated LED Ceiling Mount Direct wire Track Lighting Kit with Fl,Hampton Bay,Track Lighting,51.0,Medium
40,Hampton Bay 44 in. Black Integrated LED Linear Track Lighting Kit Mini Step 3-Light 805109,Hampton Bay,Track Lighting,51.0,Medium
41,GE PowerMark Gold 200 Amp 10 in. Enclosed Outdoor Circuit Breaker THQMV200NRE,GE,Circuit Breaker,53.0,Medium
42,Commercial Electric Trimless Integrated LED 4 in Round Adjustable Color Temp Canless Recessed Light ,Commercial Electric,Recessed Light,51.0,Medium
43,Commercial Electric Trimless Integrated LED 6 in Round Adjustable Color Temp Canless Recessed Light ,Commercial Electric,Recessed Light,51.0,Medium
44,"Bell + Howell 15.7 in. Indoor White Ceiling Fan with Remote, LED Light, Socket 8563ENCBQH",Bell + Howell,Ceiling Fan,59.0,Medium
45,Commercial Electric Impact Punch Down Tool with 110 Blade CE70804,Commercial Electric,Saw Blade,43.0,Low
46,"Oregon R28F Polesaw Chain for 6 in. Bar, Fits Remington, Milwaukee and Craftsman R28F-21",Oregon,Saw,33.0,Low
47,GE PowerMark Plus 125 Amp 8-Space 16-Circuit Indoor Main Lug Breaker Value Kit TLM812SCUD1K,GE,Circuit Breaker,83.0,High
48,Milwaukee 14-In-1 Multi-Bit Screwdriver 48-22-2900,Milwaukee,Screwdriver,43.0,Low
49,Commercial Electric Cylinder Integrated LED 3 in Round  Canless Recessed Light for Kitchen Bathroom ,Commercial Electric,Recessed Light,71.0,High
50,Swiffer Lavender Scent Dry Sweeping Pad Refills (52-Count) 003700081559,Swiffer,Cleaning Pad,50.0,Medium
