Index,Title,Brand,Product Type,Confidence,Confidence Level,Version
0,Feit Electric 60-Watt Equivalent B10 E26 Base Dim White Filament Clear Glass Chandelier LED Light Bu,Feit Electric,LED Light Bulb,95.0,High,v2
1,GE 20 Amp Double Pole Ground Fault Breaker with Self-Test THQL2120GFTP,GE,Circuit Breaker,91.0,High,v2
2,Kwikset HALO Satin Nickel Keypad WiFi Electronic Single-Cylinder Smart Lock Deadbolt featuring Smart,Kwikset,Door Lock,95.0,High,v2
3,LuxHomez 24 in. W x 24 in. H Black Vanity Round Wall Mirror Aluminum Alloy Frame Bathroom Mirror LLO,LuxHomez,Unknown - Unable to Classify,6.0,No Match,v2
4,"Rheem Performance 30 Gal. Short 30,000 BTU Natural Gas Water Heater with 6-Year Warranty XG30S06EC30",Rheem,Water Heater,95.0,High,v2
5,"HALO HLBSL 6 in. Can Less Integrated LED, 900 Lumens, 5CCT, White (4-Pack) HLBSL609FS5-4PK",HALO,LED Light Bulb,50.0,Medium,v2
6,Cerrowire 500 ft. 18/10 Black Solid Copper Sprinkler Wire 240-1010J,Cerrowire,Wire,94.0,High,v2
7,Empire 48 in. UltraView LED Magnetic Box Level EM95.48,Empire,Level,84.0,High,v2
8,Cerrowire 500 ft. 18/7 Black Solid Copper Sprinkler Wire 240-1007J,Cerrowire,Wire,94.0,High,v2
9,Metalux 13 in. Round 400-Watt Equivalent Integrated LED White High Bay Light HBRC2L3,Metalux,LED Light Bulb,100,High,v2
10,Siemens 30 Amp Double Pole Type QPF2 GFCI Circuit Breaker US2:QF230AP,Siemens,Circuit Breaker,95.0,High,v2
11,Cobra 5/16 in. x 50 ft. Slotted End Replacement Cable BC96106C,Cobra,Cable,78.0,High,v2
12,Southwire 1/2 in. x 100 ft. Alflex RWA Metallic Aluminum Flexible Conduit 55082103,Southwire,Unknown - Unable to Classify,8.0,No Match,v2
13,MOEN Adler Single-Handle Low Arc Kitchen Faucet in Chrome with Tool Free Install 87201,MOEN,Faucet,95.0,High,v2
14,Cerrowire 100 ft. 14 Gauge Red Solid Copper THHN Wire 112-1473CR,Cerrowire,Wire,95.0,High,v2
15,Cerrowire 25 ft. 18/2 Silver Stranded Copper Lamp Wire 251-1015AR,Cerrowire,Wire,94.0,High,v2
16,Pfister Brea Single Handle Single Hole Bathroom Faucet with Deckplate in Brushed Nickel LF-042-BRKK,Pfister,Drain,43.0,Low,v2
17,Honeywell Home 1-Week Programmable Thermostat with Digital Display RTH221B,Honeywell Home,Thermostat,100.0,High,v2
18,EcoSmart 60-Watt Equivalent A19 Dimmable LED Light Bulb with Selectable Color Temperature (6-Pack) 1,EcoSmart,LED Light Bulb,95.0,High,v2
19,Werner 5 ft. Aluminum Step Ladder (9 ft. Reach Height) with 225 lb. Load Capacity Type II Duty Ratin,Werner,Ladder,100.0,High,v2
20,"Lutron Skylark Contour LED+ Dimmer Switch for LED and Incandescent Bulbs, 150-Watt/Single-Pole or 3-",Lutron,LED Light Bulb,55.0,Medium,v2
21,GE Q-Line 40 Amp 1 in. Double Pole Circuit Breaker (THQP240) THQP240,GE,Circuit Breaker,95.0,High,v2
22,Southwire (By-The-Foot) 10/3 Gray Solid CU UF-B W/G Wire 13059199,Southwire,Wire,84.0,High,v2
23,RYOBI Tune-Up Kit for 37cc and 38cc Gas Chainsaws AC0538CSK,RYOBI,Tool Kit,100.0,High,v2
