Index,Category,Title,Confidence,Current Type
3,Other (low priority),LuxHomez 24 in. W x 24 in. H Black Vanity Round Wall Mirror Aluminum A,8.0,Unknown - Unable to Classify
12,Other (low priority),Southwire 1/2 in. x 100 ft. Alflex RWA Metallic Aluminum Flexible Cond,9.0,Unknown - Unable to Classify
77,Specialty Pliers,"Channellock 12 in. Oil Filter/PVC Plier, Angled Head 2012",8.0,Unknown - Unable to Classify
78,Other (low priority),Husky Encased Sewer Rod 82-974-111,9.0,Unknown - Unable to Classify
86,Other (low priority),Nite Ize GlowStreak LED Red Ball Dog Toy GSB-10-R7,11.0,Unknown - Unable to Classify
87,Other (low priority),Nite Ize SlapLit Neon Yellow LED Slap Wrap SLP2-33-R3,8.0,Unknown - Unable to Classify
94,Area Rug,Home Decorators Collection Silky Medallion Multi 5 ft. x 7 ft. Medalli,10.0,Unknown - Unable to Classify
110,Other (low priority),Lifetime 4 ft. One Hand Adjustable Height Fold-in-Half Table Almond 80,8.0,Unknown - Unable to Classify
127,Area Rug,Home Decorators Collection Raleigh Jute Boucle Natural 6 ft. x 9 ft. A,6.0,Unknown - Unable to Classify
160,Area Rug,Home Decorators Collection Harmony Denim 5 ft. x 7 ft. Indoor Machine ,8.0,Unknown - Unable to Classify
164,Other (low priority),TrimMaster Satin Nickel 5.5mm x 74 in. Aluminum Stair Nosing Floor Tra,10.0,Unknown - Unable to Classify
166,Wall Sconce (scoring bug),Hampton Bay Ashhurst 1-Light ORB Wall Sconce with Switch JIB8401AX-02/,11.0,Unknown - Unable to Classify
168,Wall Sconce (scoring bug),Hampton Bay Ashhurst 1-Light Brushed Nickel Wall Sconce with Switch JI,11.0,Unknown - Unable to Classify
191,Area Rug,Home Decorators Collection Harmony Denim 2 ft. x 7 ft. Indoor Machine ,8.0,Unknown - Unable to Classify
193,Sanding Sheet,DIABLO 2-3/4 in. x 5 in. 100-Grit SandNET Reusable Sanding Sheets DND2,6.0,Unknown - Unable to Classify
197,Sanding Sheet,DIABLO 2-3/4 in. x 5 in. 150-Grit SandNET Reusable Sanding Sheets DND2,6.0,Unknown - Unable to Classify
206,Area Rug,TrafficMaster Quince Navy/Blue 5 x 7 Medallion Vinyl Area Rug 8214.42.,8.0,Unknown - Unable to Classify
207,Area Rug,Home Decorators Collection Harmony Gray 5 ft. x 7 ft. Abstract Indoor ,8.0,Unknown - Unable to Classify
213,Other (low priority),Philips Advance 40-Watt (F40T12) 1 or 2 Lamp 4 ft. T12 120V Rapid Star,11.0,Unknown - Unable to Classify
225,Area Rug,StyleWell Beckett Charcoal 6 ft. x 9 ft. Modern Geometric Living Room/,10.0,Unknown - Unable to Classify
226,Area Rug,Home Decorators Collection Fog Sage 5 ft. 3 in. x 7 ft. Indoor Area Ru,8.0,Unknown - Unable to Classify
227,Trash Can,Rubbermaid Roughneck 32 Gal. Vented Black Round Trash Can with Lid 214,8.0,Unknown - Unable to Classify
